trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,14,-14.247996539310705,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,8,-22.556117531195074,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",20,9,-21.82674289702065,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.39851904108451414}",25,0,-74.4639070202864,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.3945537103716011}",25,7,6.390995216261304,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3906278353585211}",25,16,14.487832058952149,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3867410234545012}",25,11,-31.814466790302834,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",30,8,-34.375620627756355,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",30,4,12.346245210238163,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37531109885139957}",30,0,-34.167335088485245,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.3715766910220457}",25,5,-70.2495160475204,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,14,5.030893904797941,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3642189795715233}",25,12,-43.74704628614978,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,15,-40.91616801979264,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",25,0,-16.85948361760822,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",30,8,-90.9320329288173,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 2}",1
105,False,"{'a': 0.5, 'e': 0.3499377491111553}",20,8,2.3259985476753338,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3464558103300574}",25,0,-16.80298158720719,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,0,-144.0797899788959,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
108,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,15,9.611387276708703,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3362164937067333}",20,0,-122.3156843875249,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
110,False,"{'a': 0.5, 'e': 0.33287108369807955}",25,17,14.36486538194507,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.32955896107518906}",25,19,-1.0256566171081496,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.32627979462303947}",30,17,-22.3100594560854,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.3230332564222529}",20,6,-17.630537804987462,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.31981902181630384}",25,15,7.837110066495299,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,16,6.649926468936723,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,7,19.867262598357943,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.31036694126548503}",30,1,-70.48340920023078,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 2}",1
118,False,"{'a': 0.5, 'e': 0.30727873860113125}",25,13,-7.086190911740964,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3042212640667041}",20,0,-67.99439323032495,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,10,8.086579048762191,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2981972794298874}",30,0,-59.16795701077138,"{0: 23, 1: 3, 2: 1, 3: 3, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,2,1.899698706906297,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2922925776808594}",20,0,-53.62625885251158,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.2893842179390506}",20,14,9.971379556977766,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,0,-44.16261491151289,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.2836540264997704}",30,8,-37.92094662650948,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,0,-56.28673078009434,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,14,-30.364560291761638,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.27527078308975234}",20,5,2.6745328953635514,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.2725317930340126}",25,10,-27.768602197390866,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2698200563846868}",25,10,-10.707445502537778,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,0,-8.085289763235034,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.26447726129982396}",25,7,30.34892572946826,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.261845668580326}",25,7,-15.89814876469594,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2592402606458915}",25,8,-74.12792349404755,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 2}",1
136,False,"{'a': 0.5, 'e': 0.2566607769535559}",30,18,5.742554627457665,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.25410695955280027}",20,12,-28.75459494129861,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.25157855305975646}",20,0,16.549301676387955,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24907530463166816}",20,16,8.899861167476596,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,0,6.6104794974567485,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.2441432831534371}",25,1,36.52348934117169,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.24171401689703645}",25,0,-54.01152017658233,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.23930892224375455}",20,0,-25.917322014335976,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.23692775868212176}",30,0,-161.72017095696046,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 4}",0
145,False,"{'a': 0.5, 'e': 0.23457028809379765}",25,0,-63.787150250781266,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.23223627472975883}",30,8,-23.518567517256322,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.22992548518672384}",20,12,15.475474223260399,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22763768838381274}",25,0,-56.73769110424515,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.22537265553943872}",30,1,-7.217171937455157,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22313016014842982}",30,0,13.446988956716016,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.2209099779593782}",20,0,-75.69836858022347,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
152,False,"{'a': 0.5, 'e': 0.21871188695221475}",25,8,-18.379790896283197,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
153,False,"{'a': 0.5, 'e': 0.21653566731600707}",25,3,19.535383781910618,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21438110142697794}",30,20,7.39637383799511,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,14,12.455640455111936,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,0,3.358914890933547,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.20804518235702046}",20,8,19.383506776553,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20597509820488344}",20,13,5.629801001877402,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20392561173421342}",20,0,-4.634441086869319,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.20189651799465538}",20,13,2.2790198175693073,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,3,-20.967627786640406,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.19789869908361465}",20,5,-1.8557382870386665,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19592957412690934}",20,14,11.419102085603487,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,0,-44.06020653140466,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
165,False,"{'a': 0.5, 'e': 0.19204990862075408}",25,12,-23.791436697356545,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.1901389801015205}",20,15,3.283524811446056,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1882470656387468}",25,14,24.840310490839702,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18637397603940997}",20,14,13.508102310030653,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18451952399298926}",25,20,9.78259752264358,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18268352405273466}",25,10,23.579658510640087,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.1808657926171221}",20,11,16.67192831106201,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17906614791149322}",30,8,21.72248381050841,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17728440996987782}",25,13,20.930452974707485,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17552040061699686}",25,0,-13.13188793376436,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.17377394345044514}",20,6,25.843528710132013,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17204486382305054}",25,11,19.2386786748729,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17033298882540943}",25,16,-3.3018542039808727,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.1686381472685955}",20,9,19.84422161553158,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1669601696670407}",25,0,7.292774403948887,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.16529888822158653}",30,10,-0.6538385894681136,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16365413680270405}",30,13,-22.637038007714654,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
182,False,"{'a': 0.5, 'e': 0.16202575093388075}",20,14,1.78415650730856,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.16041356777517274}",35,6,1.760991865694032,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.15881742610692068}",20,15,8.897190030110089,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.1572371663136276}",20,11,10.877660556161594,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.1556726303679973}",30,14,-12.398170914103762,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
187,False,"{'a': 0.5, 'e': 0.1541236618151314}",30,13,3.249648117841197,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.15259010575688386}",30,11,5.395240408936397,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.15107180883637084}",20,7,23.58073670388033,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.14956861922263504}",20,4,27.148849330955656,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.14808038659546244}",35,16,3.9413905958757853,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14660696213035015}",25,4,25.30096732950751,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.14514819848362373}",20,8,22.018179627519398,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
