trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,0,-64.46604831376874,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,0,-31.554738094716342,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,0,-39.406315408776685,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,0,-90.96849538715136,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",1
46,False,"{'a': 0.5, 'e': 0.631283645506926}",30,0,-69.0817604662622,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,0,-77.82762442082722,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,14,9.264188086981013,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,7,-65.78970397771386,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-1.7138087390957208,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,0,-62.78900645419141,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",25,0,-90.68743639643864,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,0,-143.0408004021643,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,5,-38.39294218509933,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,4,-5.420319525054033,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",25,7,-2.3634417221175177,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,0,-27.837395447225376,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.559898366565402}",25,16,11.98070583052331,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",25,3,-69.77084523062746,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,18,7.769020583124319,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,14,-72.99542501108927,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,10,1.6708671435429776,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",35,0,-176.5849780479679,"{0: 22, 1: 3, 2: 7, 3: 0, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,0,-26.952215863768238,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.522045776761016}",20,0,-28.10899318962308,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,0,-31.130029839413957,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5117085777865424}",20,13,-43.7487410135912,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,0,-25.397850295062256,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.5015760690660555}",20,0,28.679130826614195,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.49658530379140947}",25,8,-132.3838098448166,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 2}",1
71,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,0,-28.41481147238396,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,12,2.792702365663337,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",30,17,23.64952024650352,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,3,8.636840867187146,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4723665527410147}",20,0,-30.662015720010405,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,0,-30.55277846666488,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
